idx,score,length,gc,frac_a,frac_t,frac_c,frac_g,entropy_bits,cpg_density,longest_run,runs_ge_5,mean_unpair_prob
6477,0.9925959706306458,100,0.69,0.1,0.21,0.46,0.23,1.8080189718231099,0.07,5,1,nan
6478,0.9800140857696533,100,0.74,0.11,0.15,0.4,0.34,1.818776518403284,0.16,5,1,nan
6480,0.997490644454956,100,0.7,0.14,0.16,0.32,0.38,1.8766140455780975,0.15,4,0,nan
6482,0.9994216561317444,100,0.74,0.12,0.14,0.3,0.44,1.806413909717155,0.12,6,3,nan
6483,0.9989039897918701,100,0.62,0.18,0.2,0.28,0.34,1.9530873263363915,0.1,3,0,nan
6489,0.9986196756362915,100,0.72,0.16,0.12,0.25,0.47,1.802039881956015,0.07,5,1,nan
6492,0.9997423887252808,100,0.66,0.23,0.11,0.33,0.33,1.8935993430549296,0.08,4,0,nan
6494,0.9903296232223511,100,0.64,0.27,0.09,0.16,0.48,1.753961313714625,0.05,4,0,nan
6496,0.9913744926452637,100,0.63,0.2,0.17,0.42,0.21,1.8974419114340757,0.08,4,0,nan
6502,0.9987063407897949,100,0.6,0.23,0.17,0.27,0.33,1.960098571896628,0.04,4,0,nan
6503,0.9907369613647461,100,0.59,0.25,0.16,0.33,0.26,1.95612775622607,0.06,5,1,nan
6507,0.955331563949585,100,0.69,0.1,0.21,0.47,0.22,1.7975450051137538,0.02,5,1,nan
6511,0.9917294979095459,100,0.64,0.16,0.2,0.42,0.22,1.8936222971299674,0.07,4,0,nan
6514,0.9972808361053467,100,0.69,0.04,0.27,0.48,0.21,1.6768679050608937,0.05,5,1,nan
6515,0.9888651967048645,100,0.73,0.11,0.16,0.5,0.23,1.760971366944147,0.08,4,0,nan
6516,0.9630802869796753,100,0.75,0.13,0.12,0.28,0.47,1.7758873878652253,0.12,4,0,nan
6519,0.9997596740722656,100,0.74,0.14,0.12,0.42,0.32,1.815857683033042,0.13,4,0,nan
6523,0.9826115965843201,100,0.62,0.14,0.24,0.3,0.32,1.9383683218310273,0.03,5,2,nan
6530,0.9979232549667358,100,0.81,0.09,0.1,0.32,0.49,1.675162306539728,0.11,5,2,nan
6531,0.9962214827537537,100,0.68,0.13,0.19,0.32,0.36,1.894519798342869,0.13,5,1,nan
6532,0.9973641037940979,100,0.75,0.14,0.11,0.35,0.4,1.8062687287508745,0.08,5,3,nan
6537,0.9937730431556702,100,0.57,0.17,0.26,0.4,0.17,1.9032332590779801,0.03,4,0,nan
6538,0.999215304851532,100,0.67,0.07,0.26,0.45,0.22,1.7728181690654494,0.08,6,1,nan
6544,0.9734414219856262,100,0.83,0.06,0.11,0.55,0.28,1.5824137410666606,0.14,5,1,nan
6545,0.980802059173584,100,0.58,0.18,0.24,0.09,0.49,1.7563776155957709,0.01,4,0,nan
6547,0.9973019957542419,100,0.7,0.09,0.21,0.37,0.33,1.8440284761903756,0.15,3,0,nan
6549,0.9663971066474915,100,0.7,0.11,0.19,0.38,0.32,1.862000029061778,0.13,5,2,nan
6552,0.978548526763916,100,0.69,0.16,0.15,0.34,0.35,1.8928361784775936,0.15,5,1,nan
6554,0.999634861946106,100,0.72,0.12,0.16,0.48,0.24,1.7924876891689534,0.1,4,0,nan
6555,0.9827439188957214,100,0.69,0.1,0.21,0.52,0.17,1.7301793850565232,0.04,4,0,nan
6560,0.9951981902122498,100,0.76,0.14,0.1,0.28,0.48,1.7517923126756398,0.12,5,2,nan
6564,0.9853691458702087,100,0.69,0.12,0.19,0.46,0.23,1.8252967124545658,0.04,4,0,nan
6565,0.9563094973564148,100,0.66,0.23,0.11,0.32,0.34,1.8931620958063937,0.09,5,1,nan
6568,0.9935845136642456,100,0.65,0.23,0.12,0.34,0.31,1.9077032175500261,0.07,4,0,nan
6573,0.9700853824615479,100,0.65,0.21,0.14,0.16,0.49,1.7972320182866686,0.05,5,1,nan
